# Package: APBGame
#
# Runtime source: live UPackage::NetObjects @ +0x80
# UObject::NetIndex @ +0x24; validated by NetObjects[index] == UObject*
# GlobalNetIndex = Package.ObjectBase + local index
#
# generated 2026-09-03T22:23:19+03:00
# ObjectBase=33506 ObjectCount=30964 NetObjects.Num=30964 CurrentNumNetObjects=29145 nonNull=29145 mismatches=0
# GenerationNetObjectCount=[30964, 30964]
#
# calibration against direct runtime knowledge:
#   APBGame.cAPBPlayerController expected=12772 actual=12772 OK
#   APBGame.Default__cAPBPlayerController expected=12773 actual=12773 OK
#   APBGame.cAPBVehicle expected=13637 actual=13637 OK
#
# index	name

221	PrestigeLevel_None
222	etPrimitiveType
223	etProgressionFixup
224	etPvPRule
225	etPvPType
226	etRCEType
227	etSecurityViolation
228	m_bKick
229	m_bBan
230	m_eSecurityViolation
231	m_nBanDurationDays
232	m_sKickMessage
233	m_sCategory
234	SecurityViolation
235	m_nMaxBounceUpdates
236	m_fTimeBetweenBounceUpdates
237	m_nNumVisibilityRays
238	m_nMetagroupingInterval
239	m_fGameplayPeriodicLastLogTime
240	m_fGameplayLoggingPeriod
241	m_sFeedbackMessageRow
242	m_cfg_fLCDataLoggingTime
243	m_cfg_fPlayerDataLogFlushTime
244	m_cfg_fPlayerPostionDataLogTime
245	m_cfg_nPlayerDataLogVersion
246	m_bMissionsSuspended
247	m_bMetagroupingMissionOffering
248	m_bAlwaysUseMissionCache
249	m_bMatchmakingSameFactionPenalty
250	m_bMatchmakingPreviousOppositionPenalty
251	m_cfg_bEnableLCDataLogging_Vehicle
252	m_cfg_bEnableLCDataLogging_Ped
253	m_cfg_bEnablePlayerDataLogging
254	m_bAllowGrenades
255	m_bAllowInstantPlayerRestart
256	m_bLevelLoadsComplete
257	m_CollisionGroupFreeList
258	m_nRandomSeed
259	ReturnValue
260	IsEntryLevel
261	ReturnValue
262	GetEntryLevelName
263	OnTimerPlayerLog
264	OnTimerLogTaskTargets
265	ResetMaxRepFreqs
266	ReturnValue
267	RetAllowGrenades
268	LevelLoadsComplete
269	ReturnValue
270	P
271	AllowCheats
272	StartMatchNative
273	SpawnZone
274	NewPlayer
275	StartPlayer
276	ReturnValue
277	NewPlayer
278	RestartPlayer
279	PC
280	PRI
281	AddInactivePRI
282	nInventoryItemTypeID
283	DamageType
284	DeadPawn
285	DeadC
286	KillerC
287	Killed
288	PC
289	EnterDistrict
290	PC
291	ExitDistrict
292	StartHumans
293	ReturnValue
294	aPlayer
295	PlayerCanRestartGame
296	fTimeElapsed
297	OnTick
298	PostSeamlessTravel
299	nWeaponType
300	DamageType
301	DeadPawn
302	DeadC
303	KillerC
304	CallKilledBase
305	CallStartMatchBase
306	PendingMatch
307	PostBeginPlay
308	NewPlayer
309	PostLogin
310	ReturnValue
311	GetRandomBotSpawnZone
312	stateFileName
313	PC
314	ReturnValue
315	ErrorMessage
316	Options
317	Portal
318	Login
319	nLeaderUID
320	PC
321	nGroupUID
322	SetGroupLeader
323	ApbPawn
324	PlayerPawn
325	SetPlayerDefaults
326	ReturnValue
327	CanPlayerInstantRestart
328	SuspendMissions
329	APBGameInfo
330	Default__APBGameInfo
331	__HandleTick__Delegate
332	m_nEnsureFadeInStacks
