66	APBGame.cSDD.Ammo_None	Const	0x072AD328
67	APBGame.cSDD.etAPBPawnConstant	Enum	0x072AD378
68	APBGame.cSDD.etAPBViewportType	Enum	0x072AD3C8
69	APBGame.cSDD.etCameraConstant	Enum	0x072AD418
70	APBGame.cSDD.CameraHandyCamPresetNone	Const	0x072AD468
71	APBGame.cSDD.etCameraHandyCamPresetExported	Enum	0x072AD4B8
72	APBGame.cSDD.CameraShakePreset_None	Const	0x072AD508
73	APBGame.cSDD.etCameraShakePresetExported	Enum	0x072AD558
74	APBGame.cSDD.etCapacityItemType	Enum	0x072AD5A8
75	APBGame.cSDD.etCCameraMode	Enum	0x072AD5F8
76	APBGame.cSDD.etCharacterStatus	Enum	0x072AD648
77	APBGame.cSDD.etCharacterVOIPStatus	Enum	0x072AD698
78	APBGame.cSDD.etChatConstant	Enum	0x072AD6E8
79	APBGame.cSDD.etChatState	Enum	0x072AD738
80	APBGame.cSDD.etChatTag	Enum	0x072AD788
81	APBGame.cSDD.etClanRank	Enum	0x072AD7D8
82	APBGame.cSDD.ClothingItemCategory_None	Const	0x072AD828
83	APBGame.cSDD.Contact_None	Const	0x072AD878
84	APBGame.cSDD.etContactType	Enum	0x072AD8C8
85	APBGame.cSDD.etContextSensitiveActionBase	Enum	0x072AD918
86	APBGame.cSDD.etCrimeTargetCategory	Enum	0x072AD968
87	APBGame.cSDD.etCrimeTargetEnvironmental	Enum	0x072AD9B8
88	APBGame.cSDD.etCrimeTargetType	Enum	0x072ADA08
89	APBGame.cSDD.etCrimeTargetZone	Enum	0x072ADA58
90	APBGame.cSDD.etCrimeType	Enum	0x072ADAA8
91	APBGame.cSDD.etCSA_IATState	Enum	0x072ADAF8
92	APBGame.cSDD.CSA_InputMapping_None	Const	0x072ADB48
93	APBGame.cSDD.etCSAAlignmentType	Enum	0x072ADB98
94	APBGame.cSDD.etCSAAnimEvent	Enum	0x072ADBE8
95	APBGame.cSDD.etCSAAnimType	Enum	0x072ADC38
96	APBGame.cSDD.etCSAAutoRouteType	Enum	0x072ADC88
97	APBGame.cSDD.etCSAEndPoint	Enum	0x072ADCD8
98	APBGame.cSDD.etCSAInputType	Enum	0x072ADD28
99	APBGame.cSDD.etCSALineCheckType	Enum	0x072ADD78
100	APBGame.cSDD.etCSAState	Enum	0x072ADDC8
101	APBGame.cSDD.etCSAType	Enum	0x072ADE18
102	APBGame.cSDD.etCustomisedAssetPriority	Enum	0x072ADE68
103	APBGame.cSDD.etDeployedUsableArray	Enum	0x072ADEB8
104	APBGame.cSDD.etDifficultyRating	Enum	0x072ADF08
105	APBGame.cSDD.etDirection	Enum	0x072ADF58
106	APBGame.cSDD.DisplayPoint_None	Const	0x072ADFA8
